ingest_timestamp,sms_id,sighting_index,report_time,species,pod,direction,location_desc,place_a,place_b,lat,lon,location_method,confidence,notes,raw_text
5/22/2025,20a205598d2d1f23,1,,Orca,Biggs,westbound,nearing,Tahlequah/Point Defiance ferry lanes,,47.3387,-122.4384,exact_water,1,"T49A2, T100s, T124A2s, & T124Ds","Orca Network: T49A2, T100s, T124A2s, & T124Ds westbound nearing Point Defiance ferry lanes"
5/22/2025,7eb792d7d61eabcd,1,,Orca,Biggs,northbound,into Carr Inlet past south end,Carr Inlet near Fox Island (estimated),Fox Island,47.31565,-122.55245,between_midpoint,1,T65A5,Orca Network: T65A5 northbound into Carr Inlet past south end Fox Island
5/22/2025,1b73b08c00e0c943,1,,Orca,Biggs,unknown,milling in Dalco Passage between Sunrise Beach & Point Defiance,Sunrise Beach,Pt. Defiance,47.34245117,-122.4729,between_midpoint,1,"T49A2, T100s, T124A2s, & T124Ds","Orca Network: T49A2, T100s, T124A2s, & T124Ds have been milling in Dalco Passage between Sunrise Beach & Point Defiance"
5/23/2025,3e51667c0175e2f6,1,,Orca,Unknown,northbound,west of Elliot Bay,Elliott Bay,,47.619127,-122.422137,exact_water,0.8,in the shipping lanes,Orca Network: 3-4 orcas northbound in the shipping lanes west of Elliot Bay
5/23/2025,cf319d1e679c24bc,1,,Orca,Unknown,unknown,in Henderson Bay,Carr Inlet,,47.335,-122.565,exact_water,1,,"Orca Network: 2 orcas in Henderson Bay Carr Inlet; Reminder: If you are on the Henderson Bay, Carr Inlet; Reminder: If you are on the water - slow to under 7 knots within 1/2 mile of any whales, stay a minimum of 200 yards away from Bigg's orcas, and stay parallel to their path"
5/23/2025,06dc7ce257f2de62,1,,Orca,Unknown,northbound,east of midchannel out from,Golden Gardens,,47.67614732,-122.43283,exact_water,1,,Orca Network: Orcas northbound east of midchannel out from Golden Gardens
5/23/2025,c3c767959374c1fa,1,,Gray whale,Unknown,northbound,north of Indian Beach,Saratoga Passage,,48.15426339,-122.5462531,exact_water,1,Camano,"Orca Network: Gray northbound in Saratoga Passage north of Indian Beach, Camano"
5/23/2025,bc230ca3aa3890d4,1,,Orca,Biggs,northbound,past Stamm Overlook Park,Carkeek Park,,47.68908815,-122.4036555,exact_water,1,"T49A2, T100s, and members of the T124As","Orca Network: T49A2, T100s, and members of the T124As northbound past Stamm Overlook Park"
5/23/2025,c06ecf65a6c78832,1,,Humpback Whale,Unknown,unknown,near Tahlequah ferry terminal at south end of Vashon Island,Tahlequah ferry terminal,Vashon Island,47.4351046,-122.4215396,between_midpoint,0.9,no direction given,"Orca Network: Humpback near Tahlequah ferry terminal at south end of Vashon Island, no direction given"
5/24/2025,82ed0b18fcb4aaa2,1,,Orca,Biggs,southbound,between Hat Island and Whidbey,Hat Island,Just south of Whidbey Island (Holmes Harbor),47.994998,-122.5006985,between_midpoint,1,,"Orca Network: Bigg's orcas southbound between Hat Island and Whidbey, T49A2 close to shore at northwest Hat Island"
5/24/2025,82ed0b18fcb4aaa2,2,,Orca,T49A2,unknown,close to shore at northwest Hat Island,Hat Island,,47.9342,-122.4727,exact_water,1,northwest,"Orca Network: Bigg's orcas southbound between Hat Island and Whidbey, T49A2 close to shore at northwest Hat Island"
5/24/2025,330b533f00c8c8da,1,,Gray whale,Unknown,unknown,off,Sunrise Beach,,47.33860233,-122.4708,exact_water,1,,"Orca Network: Gray whale off Sunrise Beach, Langley"
5/24/2025,7deaba80b248980f,1,,Humpback Whale,Unknown,southbound,north of Manitou Beach,Midchannel between Carkeek Park & Fay Bainbridge Park (approximated to Carkeek Park),,47.7256763,-122.403711,exact_water,1,"2 juvenile humpbacks, including CRC21605 Thunderbolt, slowly","Orca Network: 2 juvenile humpbacks, including CRC21605 Thunderbolt, slowly southbound north of Manitou Beach, Bainbridge"
5/24/2025,0e7b30f03dec90ae,1,,Humpback Whale,Unknown,southbound,past Brace Point in shipping lanes,Blake Island,,47.538056,-122.4529336,exact_water,0.8,,Orca Network: Humpback southbound past Brace Point in shipping lanes
5/24/2025,6210ac60846259a3,1,,Humpback Whale,Unknown,unknown,near Hood Canal bridge,Hood Canal Bridge,,47.8608551,-122.6112007,land_offshore_shift,1,no direction given,"Orca Network: Humpback near Hood Canal bridge, no direction given"
5/24/2025,f319c3f86d5fe9fc,1,,Orca,Biggs,southbound,"past Edmonds fishing pier, east of midchannel",Edmonds/Kingston ferry lanes,,47.802532,-122.452055,exact_water,0.8,some surface activity,"Orca Network: T49A2 and others southbound past Edmonds fishing pier, east of midchannel, some surface activity"
5/24/2025,9eb6a7def136bf88,1,,Humpback Whale,Unknown,unknown,midchannel near,Point Robinson,,47.39725,-122.43575,exact_water,0.8,Possible,Orca Network: Possible humpback reported midchannel near Point Robinson
5/24/2025,e954bd7495bf9fa8,1,,Orca,Biggs,southbound,"approaching Jefferson Head, east of midchannel",Jefferson Head,,47.702646,-122.423711,exact_water,0.9,T49A2 and others,"Orca Network: T49A2 and others southbound approaching Jefferson Head, east of midchannel"
5/24/2025,22f7a5a35e361ce9,1,,Humpback Whale,Unknown,northbound,south of Hamma Hamma,Hood Canal,,47.6983,-122.8669,exact_water,1,,Orca Network: Humpback northbound in Hood Canal south of Hamma Hamma
